23-mar.,84,5,89,0,0,5,5,12,10,"5,62%",0,1,27,0,2,25,,,,,,,,
22-mar.,37,0,37,0,0,0,5,12,5,"0,00%",0,0,22,0,1,21,,,,,,,,
21-mar.,64,4,68,0,1,3,5,12,5,"5,88%",0,0,22,0,1,21,,,,,,,,
20-mar.,39,5,44,2,3,0,5,11,2,"11,36%",0,1,18,0,1,17,,,,,,,,
19-mar.,30,2,32,1,1,0,3,8,2,"6,25%",0,0,13,0,0,13,,,,,,,,
18-mar.,24,0,24,0,0,0,2,7,2,"0,00%",0,0,11,0,0,11,,,,,,,,
17-mar.,24,2,26,0,1,1,2,7,2,"7,69%",0,0,11,0,0,11,,,,,,,,
16-mar.,26,1,27,0,1,0,2,6,1,"3,70%",0,0,9,0,0,9,,,,,,,,
15-mar.,32,1,33,0,1,0,2,5,1,"3,03%",0,0,8,0,0,8,,,,,,,,
13-mar.,16,1,17,0,1,0,2,4,1,"5,88%",0,0,7,0,0,7,,,,,,,,
12-mar.,5,1,6,1,0,0,2,3,1,"16,67%",0,0,6,0,0,6,,,,,,,,
11-mar.,7,0,7,0,0,0,1,3,1,"0,00%",0,0,5,0,0,5,,,,,,,,
null,null,null,null,0,3,0,1,3,1,null,0,0,5,0,0,5,,,,,,,,
null,null,null,null,1,0,0,1,0,1,null,0,0,2,0,0,2,,,,,,,,
null,null,null,null,0,0,0,0,0,1,null,0,0,1,0,0,1,,,,,,,,
null,null,null,null,0,0,1,0,0,1,null,0,0,1,0,0,,,,,,,,,
